"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
HarpsyKorg 8' +4',B056,Korg Triton,1999,Super Mario Galaxy,2007,Wii,Rainbow Mario,Mahito Yokota
Horns & Ensemble,B057,Korg Triton,1999,Super Mario Galaxy,2007,Wii,Course Select,Mahito Yokota
E.Bass Pick 1,B062,Korg Triton,1999,Super Mario Galaxy,2007,Wii,Awawawawa,Mahito Yokota
Pro-Dyno EP,B126,Korg Triton,1999,Super Mario Galaxy,2007,Wii,Help!,Mahito Yokota
N/A (String Ensemble),N/A,N/A (Korg Product),N/A,Super Mario Galaxy,2007,Wii,Course Select,Mahito Yokota
CD 1 - Partition A - VOLUME 004 - TP LEGATO,None,Quantum Leap Brass,2000,Super Mario Galaxy,2007,Wii,Star Ball,Mahito Yokota
prc:Marimba,061¹,E-MU Proteus Orchestra,2000,Super Mario Galaxy,2007,Wii,Star Ball,Mahito Yokota
N/A (Percussion),N/A,E-MU Proteus Orchestra,2000,Super Mario Galaxy,2007,Wii,Megaleg,Mahito Yokota
0:48/Male Voice,1,Ueberschall Easy Listening,1999,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
BEATLOOPS - sidekick beat 100 bpm - sidekick100 var 2-#198,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,Jingle - Act Clear,Tomoya Ohtani
CONSTRUCTIONKITS - 36-40club loco - 37Drums - Drums126-01-#535,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 37Drums - Drums126-04-#538,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 40Drumsamples - Clap-#554,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 40Drumsamples - Hi2-#564,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 40Drumsamples - Hi3-#565,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 40Drumsamples - Sdr-#567,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,Windmill Village Mode 4,Mariko Ohtani
CONSTRUCTIONKITS - 36-40club loco - 40Drumsamples - Tambo-#568,None,Ueberschall Brazil Electro,2001,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
Demo - 12:07,None,Ueberschall 60's a Go-Go,2006,Sonic Rush Adventure,2007,DS,Sea Map (OST Version),Mariko Ohtani
Partition A - 01-120STICK1 - STICK 120  1,None,Soundscan Volume 16 Bossa Brazil,1999,Sonic Rush Adventure,2007,DS,Windmill Village Mode 1,Mariko Ohtani
93_BPM - Change (No 1st Beat)/736_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Boss - Big Swell,Tomoya Ohtani
120_BPM - Funky Blues/603_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Boss,Tomoya Ohtani
126__BPM - Wayne 3/638_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Sailboat,Tomoya Ohtani
FLUTE - Jazz Riff/262_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Sailboat,Tomoya Ohtani
VOX - Bum Cha Chant/331_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Boss - Whisker & Johnny,Tomoya Ohtani
VOX - That Beat Kicks/339_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Boss,Tomoya Ohtani
VOX - B-B-B-Brupa/390_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,A New Venture (Title Theme),Tomoya Ohtani
VOX - Oooooaaa/397_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Boss,Tomoya Ohtani
VOX - Oh Oh/416_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Sea Map,Mariko Ohtani
VOX - Feeling Hot/423_COOK,None,Norman Cook Skip to My Loops,1992,Sonic Rush Adventure,2007,DS,Windmill Village Mode 4,Mariko Ohtani
Brass & Wind - Sax Power Trill,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,Boss,Tomoya Ohtani
Coldcut Hits - HED FX2 - Alarm 1,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,Blizzard Peaks (Act1&2 Mix),Tomoya Ohtani
Loops - Hooli 2,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,"Hovercraft, Boss",Tomoya & Mariko Ohtani
Loops - Posse,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Loops - Space Bell,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Loops - Victory,None,AMG Coldcut: Kleptomania!,1992,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
N/A (Drum Loop),N/A,N/A (AMG Product),N/A,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act1&2 Mix),Tomoya Ohtani
Vol. 1 Dance Instruments - SYNTHS - DS2_2,None,Best Service Sound Cube,1996,Sonic Rush Adventure,2007,DS,Boss - Big Swell,Tomoya Ohtani
Vol. 3 Voice Spectral - VOX_D_I - HEY,None,Best Service Sound Cube,1996,Sonic Rush Adventure,2007,DS,Machine Labyrinth (Act1&2 Mix),Tomoya Ohtani
Vol. 3 Voice Spectral - VOX_J_R - PUMP,None,Best Service Sound Cube,1996,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act1&2 Mix),Tomoya Ohtani
Vol. 3 Voice Spectral - VOX_J_R - RRRHUHU,None,Best Service Sound Cube,1996,Sonic Rush Adventure,2007,DS,"A New Venture, Plant Kingdom (Act1&2 Mix)",Tomoya Ohtani
Partition D - TRP SHAKE 44 - CTRP SHAKE,None,Best Service Brass Super Section,1995,Sonic Rush Adventure,2007,DS,Windmill Village Mode 4,Mariko Ohtani
Demo - 0:04,None,Best Service Spiritual Voices,2000,Sonic Rush Adventure,2007,DS,Windmill Village Mode 5,Seirou Okamoto
WOODWIND AND BRASS - PANFLUTES - Panflute Licks 80-140 TM,None,Best Service Ethno World Instruments,2004,Sonic Rush Adventure,2007,DS,Cutscene - Normal,Seirou Okamoto
WOODWIND AND BRASS - VARIOUS FLUTE FX - Various Flute FX,None,Best Service Ethno World Instruments,2004,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 5, Cutscene - Normal",Seirou Okamoto
Jazz/FX (CD 3) - N/A (Jazz Bayeeats and Vibrato Bahs),None,Spectrasonics Vocal Planet,2000,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 2, Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
R&B/Dance (CD 4) - Partition H - 2 TB HIP-HOP - N/A (Everybody Vocal),None,Spectrasonics Vocal Planet,2000,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act1&2 Mix),Tomoya Ohtani
World Voices (CD 5) - Partition H - 6 S.AFRICAN - S.AFRICAN,None,Spectrasonics Vocal Planet,2000,Sonic Rush Adventure,2007,DS,Waterbike,Seirou Okamoto
Demo - 0:27,None,Big Fish Audio Roots of the Pacific,2000,Sonic Rush Adventure,2007,DS,Windmill Village Mode 5,Seirou Okamoto
Steel Drums,115,Roland Sound Canvas,1991,Sonic Rush Adventure,2007,DS,"Coral Cave (Act1&2 Mix), Sea Map",Mariko Ohtani
Marimba,13,Roland Sound Canvas SC-88,1994,Sonic Rush Adventure,2007,DS,Coral Cave (Act1&2 Mix),Mariko Ohtani
Recorder,75,Roland Sound Canvas SC-88,1994,Sonic Rush Adventure,2007,DS,Coral Cave (Act1&2 Mix),Mariko Ohtani
Piano 1,1,Roland Sound Canvas SC-88 Pro,1996,Sonic Rush Adventure,2007,DS,Sea Map,Mariko Ohtani
Lo-Fi Hits,XP-X:176,Roland SR-JV80-12 Hip Hop Collection,1997,Sonic Rush Adventure,2007,DS,"Boss - Big Swell, Boss - Big Swell - Allegro, Boss - Deep Core, Boss - Deep Core - Allegro, Jingle - Deep Core Clear",Tomoya Ohtani
Synth Pipe Solo,64,Roland JD-800,1991,Sonic Rush Adventure,2007,DS,"Waterbike, Windmill Village Mode 5",Seirou Okamoto
Bass - Double Bass Harmonics,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 1, Windmill Village Mode 2",Mariko Ohtani
Bass - J Bass 2,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Training,Mariko Ohtani
Bass - Pick JBass,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,"A New Venture (Title Theme), Plant Kingdom (Act1&2 Mix), Haunted Ship (Act1&2 Mix)",Tomoya & Mariko Ohtani
Brass - Tp+Tn Section Stereo,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Ethnic - Mandolin V-Trem,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Windmill Village Mode 1,Mariko Ohtani
Guitar - Acoustic - Banjo,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Windmill Village Mode 3,Mariko Ohtani
Guitar - Acoustic - Mellow - Tube comp,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 1, Windmill Village Mode 2, Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
Guitar - Electric - Crunch LP 1,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Hovercraft,Mariko Ohtani
Guitar - Electric - Heavy Metal,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Guitar - Electric - N/A,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Loop - Ambient-Dub 4 100 bpm,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Orchestra - Comp String Orchestra,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 1, Windmill Village Mode 2, Pirates Island (Act 1&2 Mix)",Mariko Ohtani
Orchestra - Timpani,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Organ - B-3 Organ 2,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Organ - Portable Electric Organ - Combo City,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
Percussion - Agogo,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Windmill Village Mode 4,Mariko Ohtani
Percussion - Vibes 2,None,IK Multimedia SampleTank 2,2003,Sonic Rush Adventure,2007,DS,Boss - Whisker & Johnny,Tomoya Ohtani
Theo Schumann Combo - Derby - 0:00,1,Amiga A Go-Go Vol.1,2000,Sonic Rush Adventure,2007,DS,Training,Mariko Ohtani
Chris Doerk + Uve Schikora Combo - Glaub nicht - 0:00,9,Amiga A Go-Go Vol.1,2000,Sonic Rush Adventure,2007,DS,Blizzard Peaks (Act1&2 Mix),Tomoya Ohtani
Harpsichord - Harpsichord,None,Steinberg Hypersonic 2,2006,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Acoustic Guitars - Steel Strg Rhythm - Boogie,None,Steinberg Virtual Guitarist 2,2006,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act 1&2 Mix),Tomoya Ohtani
Electric Guitars - Wah - Wah Wah,None,Steinberg Virtual Guitarist 2,2006,Sonic Rush Adventure,2007,DS,"Training, Coral Cave (Act1&2 Mix), Haunted Ship (Act1&2 Mix)",Mariko Ohtani
Pro Set - Prog Rock Organ,None,Steinberg HALionOne,2006,Sonic Rush Adventure,2007,DS,Boss - Whisker & Johnny,Tomoya Ohtani
Studio Set - Lovely Ensemble,None,Steinberg HALionOne,2006,Sonic Rush Adventure,2007,DS,Boss - Deep Core,Tomoya Ohtani
Studio Set - Solo Violin,None,Steinberg HALionOne,2006,Sonic Rush Adventure,2007,DS,Boss - Deep Core,Tomoya Ohtani
Piano/Keys - Glassy E-Piano,None,NI FM7,2001,Sonic Rush Adventure,2007,DS,Waterbike,Seirou Okamoto
Basement Lead,148,NI Pro-53,2002,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Cleaner,223,NI Pro-53,2002,Sonic Rush Adventure,2007,DS,"Windmill Village Mode 1, Windmill Village Mode 2",Mariko Ohtani
Ensembleloops - 5. Ensembleloops 80/160 BPM - 0:08,5,Masterbits World Zone 3 Salsa Picante,1998,Sonic Rush Adventure,2007,DS,Sea Map,Mariko Ohtani
Brass - Brass Phrases ( 120 / 140 / 160 BPM ) - 29. No. 5 - 8 - 0:58,29,Masterbits World Zone 3 Salsa Picante,1998,Sonic Rush Adventure,2007,DS,"Jingle - Act Clear, Sea Map",Tomoya & Mariko Ohtani
Instruments - 77. Requinto Loops ( 120 / 140 / 160 BPM ) - 0:41,77,Masterbits World Zone 3 Salsa Picante,1998,Sonic Rush Adventure,2007,DS,"A New Venture (Title Theme), Sea Map, Hidden Island",Tomoya & Mariko Ohtani
Instruments - 79. Tres ( 120 / 140 /160 BPM ) - 0:17,79,Masterbits World Zone 3 Salsa Picante,1998,Sonic Rush Adventure,2007,DS,"A New Venture (Title Theme), Sea Map, Hidden Island",Tomoya & Mariko Ohtani
Orchestra Brass 03,None,Apple Loops for GarageBand,2004,Sonic Rush Adventure,2007,DS,Boss - Big Swell,Tomoya Ohtani
Partition A - VOLUME 001 - BNS LN ST,None,Miroslav Vitous Woodwind & Brass Ensembles,1994,Sonic Rush Adventure,2007,DS,Tense,Seirou Okamoto
Partition B - VOLUME 001 - FLS LN ST LI,None,Miroslav Vitous Woodwind & Brass Ensembles,1994,Sonic Rush Adventure,2007,DS,End Credits,Seirou Okamoto
SFX - 085 Spammer 1-E,None,Zero-G Funk Guitar,1992,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
SFX - 085 Spammer 2-E,None,Zero-G Funk Guitar,1992,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Synth Loops - 160-BPM - Java,None,Zero-G Technotrance,1993,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Synth Loops - 160-BPM - Silver Plated,None,Zero-G Technotrance,1993,Sonic Rush Adventure,2007,DS,Haunted Ship (Act1&2 Mix),Mariko Ohtani
Loops - 098-BPM - Bindi-98,None,Zero-G Cuckooland Unhinged,1995,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Electric 100 - Electric 100-G 1/Funkpick,None,Zero-G CE01 Rhythm Guitar & FX,1996,Sonic Rush Adventure,2007,DS,Hovercraft,Mariko Ohtani
Drum Loops-088 - 088-F Kick Snare 10,None,Zero-G Chemical Beats,2001,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Groove Loops - Guitars 100-BPM - Giddyup-A,None,Zero-G Total Funk,2002,Sonic Rush Adventure,2007,DS,Submarine,Mariko Ohtani
Groove Loops - Guitars 120-BPM - Lead Station-C,None,Zero-G Total Funk,2002,Sonic Rush Adventure,2007,DS,Boss,Tomoya Ohtani
Breaks - Medium 1 - EZ Break 175bpm,None,Zero-G EZ Rollers Drum & Bass Producer,2005,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Breaks - Medium 1 - Kitchen 175bpm,None,Zero-G EZ Rollers Drum & Bass Producer,2005,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Breaks - Medium 2 - Scared 175bpm,None,Zero-G EZ Rollers Drum & Bass Producer,2005,Sonic Rush Adventure,2007,DS,Pirates Island (Act 1&2 Mix),Mariko Ohtani
Instrument Samples - MC Vox 5 - vox.45,None,Zero-G EZ Rollers Drum & Bass Producer,2005,Sonic Rush Adventure,2007,DS,Training,Mariko Ohtani
Percussion - Rolls - Point 170bpm,None,Zero-G EZ Rollers Drum & Bass Producer,2005,Sonic Rush Adventure,2007,DS,Boss - Deep Core,Tomoya Ohtani
"Cartoon, Gong - Large, Chinese Gong, Soft Mallet, Music, Percussion, Crash",1-27-05,Sound Ideas Series 4000,1989,Sonic Rush Adventure,2007,DS,Sailboat,Tomoya Ohtani
Crash Cymbal (Partition E) - 16-17 CRASH - 16-17 CRASH,None,Akai Sound Library Volume 3,1995,Sonic Rush Adventure,2007,DS,Boss!!,Tomoya Ohtani
"N/A (""Woahh"")",N/A,N/A (Music of Life Product),N/A,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act1&2 Mix),Tomoya Ohtani
0:00,None,Jimmy Smith - The Cat,1964,Sonic Rush Adventure,2007,DS,Sailboat,Tomoya Ohtani
0:00,None,The Skatalites - Beardman Ska,1965,Sonic Rush Adventure,2007,DS,"Training, Windmill Village Mode 3, Windmill Village Mode 4",Mariko Ohtani
"0:10, 0:11, 0:13, 0:16, 0:21, 0:45",None,The Ventures - Wild Thing,1966,Sonic Rush Adventure,2007,DS,Machine Labyrinth (Act1&2 Mix),Tomoya Ohtani
1:26,None,The Winstons - Amen Brother,1969,Sonic Rush Adventure,2007,DS,"Boss - Deep Core, Boss - Deep Core - Allegro",Tomoya Ohtani
0:00,None,Johnny Pate - Shaft in Africa (Addis),1973,Sonic Rush Adventure,2007,DS,"Training, Haunted Ship (Act1&2 Mix)",Tomoya & Mariko Ohtani
"2:00, 2:04",None,The Brothers Johnson - Ain't We Funkin' Now,1978,Sonic Rush Adventure,2007,DS,Sky Babylon (Act 1&2 Mix),Tomoya Ohtani
0:00,None,Electric Light Orchestra - Don't Bring Me Down,1979,Sonic Rush Adventure,2007,DS,Machine Labyrinth (Act1&2 Mix),Tomoya Ohtani
Keith Mansfield - Teenage Chase - 0:00,None,Blow Up Presents Exclusive Blend Volume 2,1997,Sonic Rush Adventure,2007,DS,Sailboat,Tomoya Ohtani
Lee Mason - Cult and Colour - 0:00,None,Blow Up Presents Exclusive Blend Volume 2,1997,Sonic Rush Adventure,2007,DS,Plant Kingdom (Act 1&2 Mix),Tomoya Ohtani
Solo Strings - Partition A - 01 VIS LG F - VIS LONG F,None,Peter Siedlaczek's Advanced Orchestra,1996,Professor Layton and the Curious Village,2007,DS,Professor Layton's Theme,Tomohito Nishiura
Bandneon,GM:024,Roland Super JV JV-1080,1994,Professor Layton and the Curious Village,2007,DS,Professor Layton's Theme,Tomohito Nishiura
N/A,N/A,Nemesys Conexant GM500 Kit or GigaPiano,N/A,Professor Layton and the Curious Village,2007,DS,N/A,Tomohito Nishiura
ORCHESTRA,49,Roland Sound Canvas SC-88,1994,DK: Jungle Climber,2007,DS,Boss 2,"Yuichi Kanno, Yoshikata Hirota, Takashi Kohga, Hiroaki Yoshida"
St.Strings,PR-C:035,Roland XV-5080,2000,DK: Jungle Climber,2007,DS,"Waterfall, Boss 2","Yuichi Kanno, Yoshikata Hirota, Takashi Kohga, Hiroaki Yoshida"
N/A (Brass),N/A,N/A (Roland Product),N/A,DK: Jungle Climber,2007,DS,"Waterfall, Boss 2","Yuichi Kanno, Yoshikata Hirota, Takashi Kohga, Hiroaki Yoshida"
Woodwinds - Expression Tenor Sax,None,IK Multimedia SampleTank 2,2003,DK: Jungle Climber,2007,DS,N/A,"Yuichi Kanno, Yoshikata Hirota, Takashi Kohga, Hiroaki Yoshida"
Proteus2InstrmtX - Flute w/vib,None,E-MU Formula 4000 Protozoa,1997,Diddy Kong Racing DS,2007,DS,Wizpig's Challenge,David Wise
Proteus2InstrmtX - Clarinet,None,E-MU Formula 4000 Protozoa,1997,Diddy Kong Racing DS,2007,DS,Haunted Woods,David Wise
Proteus3InstrmtX - Banjo,None,E-MU Formula 4000 Protozoa,1997,Diddy Kong Racing DS,2007,DS,Diddy Kong Racing Intro,David Wise
"CD 2 - SNG:Kanada,Fem. - SNG:Kanada,Fem. - SNG:KanadaMenu1",None,Spectrasonics Heart of Asia,1994,Diddy Kong Racing DS,2007,DS,Hot Top Volcano,David Wise
N/A,None,Spectrasonics Stylus RMX,2004,Diddy Kong Racing DS,2007,DS,N/A,David Wise
XYLOPHONE 2,8,Roland SN-R8-07 Mallet,1989,Diddy Kong Racing DS,2007,DS,Boss,David Wise
BS :Basses  1 - BS :Ac.Fretless - BS :Uprite 1a,None,Roland Library Preview Disc SV-SP70-01,1992,Diddy Kong Racing DS,2007,DS,Frosty Village,David Wise
B-3:Jazz Perc Ch - B-3:Jazz Perc Ch - B-3:Jz Prc Ch aS,None,Roland Keyboards of the 60's & 70's Vol. 2,1993,Diddy Kong Racing DS,2007,DS,Diddy Kong Racing Intro,David Wise
N/A (Piano),N/A,N/A (Roland Product),N/A,Diddy Kong Racing DS,2007,DS,N/A,David Wise
String Ensembles - Partition A - 06 VI PIZ 1 - VI PIZICTO 1,None,Peter Siedlaczek's Advanced Orchestra,1996,Diddy Kong Racing DS,2007,DS,Wizpig's Challenge,David Wise
N/A (Harp),None,N/A (Best Service Product),N/A,Diddy Kong Racing DS,2007,DS,Wizpig's Challenge,David Wise
Piano/Keys - Stage E-Piano,None,NI FM7,2001,Diddy Kong Racing DS,2007,DS,Lobby Theme,David Wise
N/A (Marimba),N/A,N/A (NI or VSL Product),N/A,Diddy Kong Racing DS,2007,DS,N/A,David Wise
N/A (Electric Guitar Chords),N/A,Zero-G CE22 Reggae Connection,1996,Diddy Kong Racing DS,2007,DS,Whale Bay,David Wise
N/A,N/A,Zero-G Harmonica,2002,Diddy Kong Racing DS,2007,DS,Diddy Kong Racing Intro,David Wise
Classic (CD 6) - ORC_INST - WOODWIND - 6OB0Y259,None,"Masterbits Monster Pack 12,000",N/A,Diddy Kong Racing DS,2007,DS,Hot Top Volcano,David Wise
N/A,N/A,Zero-G Guitar Odyssey,1998,The World Ends with You,2007,DS,N/A,Takeharu Ishimoto
N/A,N/A,ProSamples Vol 25 Pop & Funk Brass,2001,The World Ends with You,2007,DS,N/A,Takeharu Ishimoto
French Horns,61,Roland Sound Canvas SC-88,1994,Kirby Super Star Ultra,2008,DS,Masked Dedede's Theme,Jun Ishikawa & Hirokazu Ando
Harmonica,M02 22,Korg M1,1988,Rhythm Heaven/Paradise,2008,DS,Glee Club Summer,Tsunku
Lo-Fi Hits,XP-X:176,Roland SR-JV80-12 Hip Hop Collection,1997,Rhythm Heaven/Paradise,2008,DS,The Dazzles DX (Love Ooh Ooh Paradise),Tsunku
Winds - Recorder,None,IK Multimedia SampleTank,2000,Rhythm Heaven/Paradise,2008,DS,The Dazzles DX (Love Ooh Ooh Paradise),Tsunku
N/A (Accordion),N/A,N/A (Yamaha Product),N/A,Rhythm Heaven/Paradise,2008,DS,Blue Birds,Masami Yone & Asuka Ito
ELEC ORGAN,23,Casio Rapman,1991,Animal Crossing: Let's Go to the City!/City Folk,2008,Wii,K.K. Jazz,"Manaka Kataoka, Shiho Fujii, Kazumi Totaka"
WAV VOICE,24,Casio Rapman,1991,Animal Crossing: Let's Go to the City!/City Folk,2008,Wii,K.K. Reggae,"Manaka Kataoka, Shiho Fujii, Kazumi Totaka"
Partition A - ORCHHITS MAJ - HITS MAJ  FF,None,Peter Siedlaczek's Orchestra,1988,Super Smash Bros. Brawl,2008,Wii,Classic: Results Display Screen,"Takahiro Nishi, Masaaki Iwasaki, Yutaka Iraha, Keigo Ozaki, Kentaro Ishizaka, Shogo Sakai"
Partition B - GLISS MAJOR - GLISS MAJOR,None,Peter Siedlaczek's Orchestra,1988,Super Smash Bros. Brawl,2008,Wii,Classic: Results Display Screen,"Takahiro Nishi, Masaaki Iwasaki, Yutaka Iraha, Keigo Ozaki, Kentaro Ishizaka, Shogo Sakai"
"Females - 0:26/(fs) ""Paah"" E",53,Best Service Voice Spectral,1993,Super Smash Bros. Brawl,2008,Wii,Main Theme (New Super Mario Bros.),"Koji Kondo, HAL Laboratory, Shogo Sakai"
"""Orchestral Colours"" - Instr. ""Orchestral Colours"" - Instr. Basic Orchestral Sounds - Pizzicato Chords major",None,Best Service Gigapack,1995,Super Smash Bros. Brawl,2008,Wii,Main Theme (New Super Mario Bros.),"Koji Kondo, HAL Laboratory, Shogo Sakai"
Solo Strings - 01 VIS LG F - VIS LONG F,None,Peter Siedlaczek's Advanced Orchestra,1996,Super Smash Bros. Brawl,2008,Wii,The Dark World,"Arata Iiyoshi, Nintendo, GAME ARTS"
Woodwinds - Partition C - 03 AFS LONG - AFS LONG,None,Peter Siedlaczek's Advanced Orchestra,1996,Super Smash Bros. Brawl,2008,Wii,Preparing to Advance,Yuka Tsujiyoko
