Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
Harp,SWAV 14,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 15,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,,,,
33. Piano Practice 1,,,,,,
Piano,SWAV 0,Apple - EXS24,,,,
Piano,SWAV 1,Apple - EXS24,,,,
Piano,SWAV 2,Apple - EXS24,,,,
Piano,SWAV 3,Apple - EXS24,,,,
Piano,SWAV 4,Apple - EXS24,,,,
Piano,SWAV 5,Apple - EXS24,,,,
34. Piano Practice 2,,,,,,
Piano,SWAV 0,Apple - EXS24,,,,
Piano,SWAV 1,Apple - EXS24,,,,
Piano,SWAV 2,Apple - EXS24,,,,
Piano,SWAV 3,Apple - EXS24,,,,
Piano,SWAV 4,Apple - EXS24,,,,
Piano,SWAV 5,Apple - EXS24,,,,
Piano,SWAV 6,Apple - EXS24,,,,
Piano,SWAV 7,Apple - EXS24,,,,
Piano,SWAV 8,Apple - EXS24,,,,
35. Swift Twist,,,,,,
Picked Bass,SWAV 0,Apple - EXS24,CHECK,,,
Picked Bass,SWAV 1,Apple - EXS24,CHECK,,,
Picked Bass,SWAV 2,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 3,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 4,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 5,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 6,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 7,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 8,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 9,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 10,Apple - EXS24,CHECK,,,
Electric Guitar,SWAV 11,Apple - EXS24,CHECK,,,
Harmonica,SWAV 12,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 13,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 14,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 15,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Drum Loop,SWAV 16,Apple - Loops for Garageband,,,,
Drum Loop,SWAV 17,Apple - Loops for Garageband,,,,
Guitar Interval,SWAV 18,Apple - Loops for Garageband,,,,
Guitar Interval,SWAV 19,Apple - Loops for Garageband,,,,
36. Rest at the Inn,,,,,,
Bassoon,---,,,,,
Flute,---,,,,,
Celesta,---,,,,,
Pizzicato Strings,---,,,,,
String Ensemble,---,,,,,
37. Added Companion,,,,,,
Cymbals,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Snare,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Trumpet Ensemble,---,,,,,
French Horn Ensemble,---,,,,,
38. Parting from a Companion,,,,,,
Basoon,---,,,,,
Flute,---,,,,,
Celesta,---,,,,,
39. Dance Dancer,,,,,,
Bassoon Staccato,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Bassoon Staccato,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Flute ,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute ,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute ,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute ,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute ,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Oboe,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 12,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
40. Item Get,,,,,,
Trumpet Ensemble,---,,,,,
Trombone Ensemble,---,,,,,
French Horn Ensemble,---,,,,,
41. Garuda's Defeat,,,,,,
Cymbals,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Snare,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,---,,,,,
Trumpet Ensemble,---,,,,,
Trombone Ensemble,---,,,,,
,---,,,,,
,---,,,,,
42. Four Old Man's Theme,,,,,,
Percussion Loop,SWAV 0,Apple - Loops for Garageband,,,,
Percussion Loop,SWAV 1,Apple - Loops for Garageband,,,,
Acoustic Guitar,SWAV 2,UNKNOWN,,,,
Acoustic Guitar,SWAV 3,UNKNOWN,,,,
Acoustic Guitar,SWAV 4,UNKNOWN,,,,
Acoustic Guitar,SWAV 5,UNKNOWN,,,,
Acoustic Guitar,SWAV 6,UNKNOWN,,,,
Acoustic Guitar,SWAV 7,UNKNOWN,,,,
Flute,SWAV 8,UNKNOWN,,,,
Flute,SWAV 9,UNKNOWN,,,,
Flute,SWAV 10,UNKNOWN,,,,
Flute,SWAV 11,UNKNOWN,,,,
Flute,SWAV 12,UNKNOWN,,,,
Acoustic Guitar Strum,SWAV 13,UNKNOWN,,,,
Acoustic Guitar Strum,SWAV 14,UNKNOWN,,,,
Upright Bass,SWAV 15,UNKNOWN,,,,
Upright Bass,SWAV 16,UNKNOWN,,,,
Upright Bass,SWAV 17,UNKNOWN,,,,
43. Covert Village Falgabard,,,,,,
Bassoon,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Bassoon,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Legato,,
Flute Trill,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute Trill,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Oboe,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Ocarina,SWAV 11,UNKNOWN,,,,
Ocarina,SWAV 12,UNKNOWN,,,,
Ocarina,SWAV 13,UNKNOWN,,,,
Ocarina,SWAV 14,UNKNOWN,,,,
Pizzicato Strings,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 21,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 22,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
44. Megalopolis Salonia,,,,,,
Bass Drum,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,,,,
String Staccato,SWAV 1,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 2,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 3,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Cymbal Crash,SWAV 7,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Oboe,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Snare Hit,SWAV 12,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Snare Roll,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Kick,SWAV 14,UNKNOWN ,,,,
Synth Snare,SWAV 15,UNKNOWN ,,,,
Kick,SWAV 16,UNKNOWN ,,,,
Brass Ensemble,SWAV 17,CHECK,,,,
Brass Ensemble,SWAV 18,CHECK,,,,
Brass Ensemble,SWAV 19,CHECK,,,,
Brass Ensemble,SWAV 20,CHECK,,,,
Tuba Staccato,SWAV 21,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba Staccato,SWAV 22,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba Staccato,SWAV 23,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 24,Apple - EXS24,Orchestral -> Brass,Tuba Solo Legato,,
Tuba,SWAV 25,Apple - EXS24,Orchestral -> Brass,Tuba Solo Legato,,
45. Submarine Nautilus,,,,,,
Celesta,SWAV 0,,,,,
Celesta,SWAV 1,,,,,
Celesta,SWAV 2,,,,,
Celesta,SWAV 3,,,,,
Clarinet,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Harp,SWAV 9,,,,,
Harp,SWAV 10,,,,,
Harp,SWAV 11,,,,,
Marimba,SWAV 12,Apple - EXS24,,,,
Marimba,SWAV 13,Apple - EXS24,,,,
Marimba,SWAV 14,Apple - EXS24,,,,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
46. Underwater Temple,,,,,,
Percussion Hit,SWAV 0,UNKNOWN,,,,
Percussion Hit,SWAV 1,UNKNOWN,,,,
Pizzicato Strings,SWAV 2,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Pizzicato Strings,SWAV 3,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Harp,SWAV 4,CHECK,,,,
Harp,SWAV 5,CHECK,,,,
Harp,SWAV 6,CHECK,,,,
Marimba,SWAV 7,Apple - EXS24,,,,
Marimba,SWAV 8,Apple - EXS24,,,,
Marimba,SWAV 9,Apple - EXS24,,,,
Marimba,SWAV 10,Apple - EXS24,,,,
Marimba,SWAV 11,Apple - EXS24,,,,
Marimba,SWAV 12,Apple - EXS24,,,,
String Tremolo,SWAV 13,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
String Tremolo,SWAV 14,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
String Tremolo,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
47. Pavilion of Dorga and Une,,,,,,
Harp,SWAV 0,CHECK,,,,
Harp,SWAV 1,CHECK,,,,
Harp,SWAV 2,CHECK,,,,
Harp,SWAV 3,CHECK,,,,
Harp,SWAV 4,CHECK,,,,
Harp,SWAV 5,CHECK,,,,
Harp,SWAV 6,CHECK,,,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
48. Noah's Lute,,,,,,
Acoustic Guitar,SWAV 0,CHECK,,,,
Acoustic Guitar,SWAV 1,CHECK,,,,
Acoustic Guitar,SWAV 2,CHECK,,,,
Acoustic Guitar,SWAV 3,CHECK,,,,
Acoustic Guitar,SWAV 4,CHECK,,,,
Acoustic Guitar,SWAV 5,CHECK,,,,
Acoustic Guitar,SWAV 6,CHECK,,,,
49. Une's Exercise,,,,,,
Conga Loop,SWAV 0,Apple - Loops for GarageBand,CHECK,,,
Conga Loop,SWAV 1,Apple - Loops for GarageBand,CHECK,,,
Recorder,SWAV 2,Apple - EXS24,CHECK,,,
Recorder,SWAV 3,Apple - EXS24,CHECK,,,
Recorder,SWAV 4,Apple - EXS24,CHECK,,,
Trombone Ensemble,SWAV 5,Apple - EXS24,Orchestral -> Brass,CHECK,,
Trombone Ensemble,SWAV 6,Apple - EXS24,Orchestral -> Brass,CHECK,,
Trombone Ensemble,SWAV 7,Apple - EXS24,Orchestral -> Brass,CHECK,,
Trumpet Ensemble,SWAV 8,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Trumpet Ensemble,SWAV 9,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Trumpet Ensemble,SWAV 10,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Tuba Staccato,SWAV 11,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Tuba Staccato,SWAV 12,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Tuba Staccato,SWAV 13,Apple - EXS24,Orchestral -> Brass,Trumpets Legato,Reduce Attack,
Tuba,SWAV 14,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 15,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 16,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
Tuba,SWAV 17,Apple - EXS24,Orchestral -> Brass,Tuba Solo Staccato,,
50. Huge Battleship Invincible,,,,,,
Synth Bass,SWAV 0,UNKNOWN,,,,
Synth Bass,SWAV 1,UNKNOWN,,,,
Synth Bass,SWAV 2,UNKNOWN,,,,
Cymbal Crash,SWAV 3,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 4,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Drum Loop,SWAV 5,Apple - Loops for GarageBand,Jam Pack 1,Club Dance Beat 07,Sped up,
Drum Loop,SWAV 6,Apple - Loops for GarageBand,Jam Pack 1,Club Dance Beat 07,,
Drum Loop,SWAV 7,Apple - Loops for GarageBand,Jam Pack 1,Club Dance Beat 07,,
Drum Loop,SWAV 8,Apple - Loops for GarageBand,Jam Pack 1,Club Dance Beat 07,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 10,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 15,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Timpani,SWAV 16,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Timpani,SWAV 17,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Trombone Staccato,SWAV 18,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Staccato,SWAV 19,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Staccato,SWAV 20,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
51. Forbidden Land Eureka,,,,,,
Cymbal Sustain,SWAV 0,EastWest - Symphonic Orchestra,Perc -> All CymGong,All Cymbals,,
Taiko,SWAV 1,UNKNOWN,,,,
Taiko,SWAV 2,UNKNOWN,,,,
Brass Staccato,SWAV 3,CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Brass Staccato,SWAV 4,CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Brass Staccato,SWAV 5,CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Brass Staccato,(Cont),CHECK,,,,
Synth Bell,SWAV 6,UNKNOWN,,,,
Synth Bell,SWAV 7,UNKNOWN,,,,
Synth Bell,SWAV 8,UNKNOWN,,,,
Synth Bell,SWAV 9,UNKNOWN,,,,
"Choir ""Mm""",SWAV 10,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
"Choir ""Mm""",SWAV 11,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
"Choir ""Mm""",SWAV 12,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Clap,SWAV 13,UNKNOWN,,,,
String Staccato,SWAV 14,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 20,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Ensemble,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 24,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 25,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Choir,SWAV 26,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 27,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 28,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
52. Crystal Tower,,,,,,
Bass Drum,SWAV 0,UNKNOWN,,,,
Choir,SWAV 1,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 2,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir,SWAV 3,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Ride Cymbal,SWAV 4,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 5,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Electric Piano,SWAV 12,UNKNOWN,,,,
Electric Piano,SWAV 13,UNKNOWN,,,,
Electric Piano,SWAV 14,UNKNOWN,,,,
Snare Ensemble,SWAV 15,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Snare Ensemble,SWAV 16,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Snare Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Snare Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Snare,SWAV 21,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Snare,SWAV 22,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
String Ensemble,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
53. Dark Crystal,,,,,,
Bass Drum,SWAV 0,CHECK,,,,
Percussion Hit,SWAV 1,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Percussion Hit,SWAV 2,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Percussion Hit,SWAV 3,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Percussion Hit,SWAV 4,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Percussion Hit,SWAV 5,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Percussion Hit,SWAV 6,UNKNOWN,,,,
Percussion Hit,(Cont),UNKNOWN,,,,
Harp,SWAV 7,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 8,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 9,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
French Horn Ensemble,SWAV 10,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
