Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
Timpani,Sample 18,UNKNOWN,,,,,,
Flute,Sample 19,UNKNOWN,,,,,,
Flute,Sample 20,UNKNOWN,,,,,,
Flute,Sample 21,UNKNOWN,,,,,,
French Horn Chord,Sample 22,UNKNOWN,,,,,,
French Horn Chord,Sample 23,UNKNOWN,,,,,,
French Horn Chord,Sample 24,UNKNOWN,,,,,,
French Horn Chord,Sample 25,UNKNOWN,,,,,,
French Horn Chord,Sample 26,UNKNOWN,,,,,,
French Horn Chord,Sample 27,UNKNOWN,,,,,,
Spiccato String Chord,Sample 28,UNKNOWN,,,,,,
Spiccato String Chord,Sample 29,UNKNOWN,,,,,,
Spiccato String Chord,Sample 30,UNKNOWN,,,,,,
Hard String Ensemble,Sample 31,UNKNOWN,,,,,,
Spiccato String Chord,Sample 32,UNKNOWN,,,,,,
Spiccato String Chord,Sample 33,UNKNOWN,,,,,,
Spiccato String Chord,Sample 34,UNKNOWN,,,,,,
Spiccato String Chord,Sample 35,UNKNOWN,,,,,,
Hard String Ensemble,Sample 36,UNKNOWN,,,,,,
Spiccato String Chord,Sample 37,UNKNOWN,,,,,,
Spiccato String Chord,Sample 38,UNKNOWN,,,,,,
String Ensemble,Sample 39,UNKNOWN,,,,,,
String Ensemble,Sample 40,UNKNOWN,,,,,,
Clarinet,Sample 41,UNKNOWN,,,,,,
Clarinet,Sample 42,UNKNOWN,,,,,,
Clarinet,Sample 43,UNKNOWN,,,,,,
Clarinet Staccato,Sample 44,UNKNOWN,,,,,,
Clarinet Staccato,Sample 45,UNKNOWN,,,,,,
Clarinet Staccato,Sample 46,UNKNOWN,,,,,,
Clarinet Staccato,Sample 47,UNKNOWN,,,,,,
Clarinet Staccato,Sample 48,UNKNOWN,,,,,,
34. Decision On the Dock,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Udu,Sample 0,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Tambourine,Sample 1,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Tabla,Sample 2,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Tabla,Sample 3,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Tabla,Sample 4,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Udu,Sample 5,Roland - SOUND Canvas SC-88 Pro,SC-88 Pro Map -> Drum Set,050 ETHNIC,,,,
Bass Drum,Sample 6,UNKNOWN,,,,,,
Snare,Sample 7,UNKNOWN,,,,,,
Cymbal Crash,Sample 8,UNKNOWN,,,,,,
Cymbal Crash,Sample 9,UNKNOWN,,,,,,
Tambourine,Sample 10,UNKNOWN,,,,,,
Cymbal,Sample 11,UNKNOWN,,,,,,
Cymbal,Sample 12,UNKNOWN,,,,,,
Cymbal,Sample 13,UNKNOWN,,,,,,
String Ensemble,Sample 14,UNKNOWN,,,,,,
String Ensemble,Sample 15,UNKNOWN,,,,,,
Timpani,Sample 16,UNKNOWN,,,,,,
Timpani,Sample 17,UNKNOWN,,,,,,
35. The Splendid Performance,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
Piano,Sample 2,UNKNOWN,,,,,,
Piano,Sample 3,UNKNOWN,,,,,,
Piano,Sample 4,UNKNOWN,,,,,,
Piano,Sample 5,UNKNOWN,,,,,,
Piano,Sample 6,UNKNOWN,,,,,,
Piano,Sample 7,UNKNOWN,,,,,,
Piano,Sample 8,UNKNOWN,,,,,,
Piano,Sample 9,UNKNOWN,,,,,,
Piano,Sample 10,UNKNOWN,,,,,,
Piano,Sample 11,UNKNOWN,,,,,,
Piano,Sample 12,UNKNOWN,,,,,,
Piano,Sample 13,UNKNOWN,,,,,,
String Trill,Sample 14,UNKNOWN,,,,,,
String Trill,Sample 15,UNKNOWN,,,,,,
String Glissando,Sample 16,UNKNOWN,,,,,,
String Glissando,Sample 17,UNKNOWN,,,,,,
Spiccato Strings,Sample 18,UNKNOWN,,,,,,
Spiccato Strings,Sample 19,UNKNOWN,,,,,,
Spiccato Strings,Sample 20,UNKNOWN,,,,,,
Spiccato Strings,Sample 21,UNKNOWN,,,,,,
Harp Glissando,Sample 22,Best Service - Advanced Orchestra,CHECK,CHECK,,,,
Shaker,Sample 23,UNKNOWN,,,,,,
Shaker,Sample 24,UNKNOWN,,,,,,
Timpani,Sample 25,UNKNOWN,,,,,,
Timpani,Sample 26,UNKNOWN,,,,,,
Slow String Ensemble,Sample 27,UNKNOWN,,,,,,
Slow String Ensemble,Sample 28,UNKNOWN,,,,,,
Crash Cymbal,Sample 29,Best Service - Advanced Orchestra,,,,,,
French Horn,Sample 30,UNKNOWN,,,,,,
Piano,Sample 31,UNKNOWN,,,,,,
Piano,Sample 32,UNKNOWN,,,,,,
Piano,Sample 33,UNKNOWN,,,,,,
Piano,Sample 34,UNKNOWN,,,,,,
Piano,Sample 35,UNKNOWN,,,,,,
Piano,Sample 36,UNKNOWN,,,,,,
Piano,Sample 37,UNKNOWN,,,,,,
Piano,Sample 38,UNKNOWN,,,,,,
Piano,Sample 39,UNKNOWN,,,,,,
36. Face Off,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Slap Bass,Sample 0,UNKNOWN,,,,,,
Distortion Guitar,Sample 1,UNKNOWN,,,,,,
Cymbal Crash,Sample 2,UNKNOWN,,,,,,
Guitar Grunge FX,Sample 3,Spectrasonics - Hans Zimmer Guitars Vol. 1,CHECK,CHECK,,,,
Guitar Harmonics FX,Sample 4,Spectrasonics - Hans Zimmer Guitars Vol. 1,CHECK,CHECK,,,,
Guitar Grunge FX,Sample 5,Spectrasonics - Hans Zimmer Guitars Vol. 1,CHECK,CHECK,,,,
Hi Hat,Sample 6,UNKNOWN,,,,,,
Hi Hat,Sample 7,UNKNOWN,,,,,,
Hi Hat,Sample 8,UNKNOWN,,,,,,
Hi Hat,Sample 9,UNKNOWN,,,,,,
Tom ,Sample 10,UNKNOWN,,,,,,
Tom ,Sample 11,UNKNOWN,,,,,,
Tom ,Sample 12,UNKNOWN,,,,,,
Ride Cymbal,Sample 13,UNKNOWN,,,,,,
Ride Cymbal,Sample 14,UNKNOWN,,,,,,
Buzzy SFX(?),Sample 15,UNKNOWN,,,,,,
Buzzy SFX(?),Sample 16,UNKNOWN,,,,,,
Snare,Sample 17,UNKNOWN,,,,,,
Snare,Sample 18,UNKNOWN,,,,,,
Snare,Sample 19,UNKNOWN,,,,,,
Harmonic Guitar Pad,Sample 20,Spectrasonics - Hans Zimmer Guitars Vol. 1,CHECK,CHECK,,,,
Analog Chime,Sample 21,Roland - SR-JV80-04 Vintage Synths,CHECK,CHECK,,,,
Low String Ensemble,Sample 22,UNKNOWN,,,,,,
Synth Pad,Sample 23,UNKNOWN,,,,,,
37. Blitz Off!,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Bass Grunge FX,Sample 0,Spectrasonics - Bass Legends,CD2 -> Partition B -> GRUNGE-MAN,JP GRUNGE A,,,,
Bass Grunge FX,Sample 1,Spectrasonics - Bass Legends,CD2 -> Partition B -> GRUNGE-MAN,JP GRUNGE A,,,,
Bass Grunge FX,Sample 2,Spectrasonics - Bass Legends,CD2 -> Partition B -> GRUNGE-MAN,JP GRUNGE A,,,,
Bass Grunge FX,Sample 3,Spectrasonics - Bass Legends,CD2 -> Partition B -> GRUNGE-MAN,JP GRUNGE A,,,,
Bass Grunge FX,Sample 4,Spectrasonics - Bass Legends,CD2 -> Partition B -> GRUNGE-MAN,JP GRUNGE A,,,,
Bass Slide FX,Sample 5,Spectrasonics - Bass Legends,CD2 -> Partition B -> ALL SLIDES,JP SLIDES,,,,
Drum Loop,Sample 6,AMG - Terminalhead Underfire Volume 2,Track 4,Sample 1,,,,
Drum Loop,Sample 7,,,,,,,
Synth Riser,Sample 8,,,,,,,
Electric Guitar,Sample 9,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 10,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 11,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 12,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 13,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 14,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 15,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 16,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Electric Guitar,Sample 17,Spectrasonics - Hans Zimmer Guitars Vol. 1,Partition A -> PRS LEAD,PRS LEAD A,,,,
Guitar Harmonics,Sample 18,,,,,,,
Guitar Harmonics,Sample 19,,,,,,,
Guitar Harmonics,Sample 20,,,,,,,
Guitar Harmonics,Sample 21,,,,,,,
Guitar Harmonics,Sample 22,,,,,,,
Guitar Harmonics,Sample 23,,,,,,,
Guitar Harmonics,Sample 24,,,,,,,
Guitar Harmonics,Sample 25,,,,,,,
Electric Guitar Power Cuts,Sample 26,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 27,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 28,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 29,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 30,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 31,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 32,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 33,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 34,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Power Cuts,Sample 35,Spectrasonics - Hans Zimmer Guitars Vol. 1,,,,,,
Electric Guitar Pinch FX,Sample 36,,,,,,,
Drum Loop,Sample 37,,,,,,,
Djembe Rise,Sample 38,,,,,,,
Djembe,Sample 39,,,,,,,
Djembe Roll,Sample 40,,,,,,,
Intro Percussion,Sample 41,,,,,,,
Percussion FX,Sample 42,,,,,,,
Percussion FX,Sample 43,,,,,,,
Percussion FX,Sample 44,,,,,,,
Percussion FX,Sample 45,,,,,,,
Analog Bell,Sample 46,,,,,,,
Analog Bell,Sample 47,,,,,,,
Analog Bell,Sample 48,,,,,,,
Analog Bell,Sample 49,,,,,,,
Analog Bell,Sample 50,,,,,,,
Analog Bell,Sample 51,,,,,,,
Analog Bell,Sample 52,,,,,,,
Tom ,Sample 53,,,,,,,
Tom ,Sample 54,,,,,,,
Tom ,Sample 55,,,,,,,
Tom ,Sample 56,,,,,,,
Tom ,Sample 57,,,,,,,
Snare,Sample 58,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 59,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 60,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 61,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 62,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 63,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Snare,Sample 64,Sampleheads - Peter Erskine - Living Drums,Partition B -> SD HATS,N+C SNR MENU,,,,
Hi Hat,Sample 65,,,,,,,
Hi Hat,Sample 66,,,,,,,
Hi Hat,Sample 67,,,,,,,
Hi Hat,Sample 68,,,,,,,
String Ensemble,Sample 69,,,,,,,
String Ensemble,Sample 70,,,,,,,
D-50 Bell,Sample 71,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 72,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 73,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 74,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 75,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 76,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
D-50 Bell,Sample 77,Roland - SR-JV80-04 Vintage Synth,XP-X,061 D50 Bellpad2,,,,
Guitar Shred,Sample 78,,,,,,,
Guitar Shred,Sample 79,,,,,,,
38. Auron's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Steel Guitar,Sample 0,UNKNOWN,,,,,,
Steel Guitar,Sample 1,UNKNOWN,,,,,,
Steel Guitar,Sample 2,UNKNOWN,,,,,,
Steel Guitar,Sample 3,UNKNOWN,,,,,,
Steel Guitar,Sample 4,UNKNOWN,,,,,,
Steel Guitar,Sample 5,UNKNOWN,,,,,,
Piano,Sample 6,UNKNOWN,,,,,,
Piano,Sample 7,UNKNOWN,,,,,,
Piano,Sample 8,UNKNOWN,,,,,,
Piano,Sample 9,UNKNOWN,,,,,,
Piano,Sample 10,UNKNOWN,,,,,,
Piano,Sample 11,UNKNOWN,,,,,,
Piano,Sample 12,UNKNOWN,,,,,,
Fretless Bass,Sample 13,UNKNOWN,,,,,,
Fretless Bass,Sample 14,UNKNOWN,,,,,,
Fretless Bass,Sample 15,UNKNOWN,,,,,,
Square Wave,Sample 16,UNKNOWN,,,,,,
Square Wave,Sample 17,UNKNOWN,,,,,,
Square Wave,Sample 18,UNKNOWN,,,,,,
Snare,Sample 19,UNKNOWN,,,,,,
Kick,Sample 20,UNKNOWN,,,,,,
Hi Hat,Sample 21,UNKNOWN,,,,,,
Hi Hat,Sample 22,UNKNOWN,,,,,,
Hi Hat,Sample 23,UNKNOWN,,,,,,
Synth Vox,Sample 24,UNKNOWN,,,,,,
Synth Vox,Sample 25,UNKNOWN,,,,,,
Tom ,Sample 26,UNKNOWN,,,,,,
Tom ,Sample 27,UNKNOWN,,,,,,
Tom,Sample 28,UNKNOWN,,,,,,
Crash Cymbal,Sample 29,UNKNOWN,,,,,,
Choir,Sample 30,UNKNOWN,,,,,,
Choir,Sample 31,UNKNOWN,,,,,,
Choir,Sample 32,UNKNOWN,,,,,,
String Ensemble,Sample 33,UNKNOWN,,,,,,
String Ensemble,Sample 34,UNKNOWN,,,,,,
String Ensemble,Sample 35,UNKNOWN,,,,,,
String Ensemble,Sample 36,UNKNOWN,,,,,,
String Ensemble,Sample 37,UNKNOWN,,,,,,
String Ensemble,Sample 38,UNKNOWN,,,,,,
39. The Mi'ihen Highroad,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Synth Bass,Sample 0,UNKNOWN,,,,,,
Tamtam,Sample 1,UNKNOWN,,,,,,
Woodblock,Sample 2,UNKNOWN,,,,,,
Woodblock,Sample 3,UNKNOWN,,,,,,
Acoustic Guitar,Sample 4,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 5,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 6,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 7,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 8,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 9,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 10,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Acoustic Guitar,Sample 11,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Saxophone,Sample 12,Roland - SOUND CANVAS SC-8820,SC-8820 Map,066 000 Alto Sax,,,,
Saxophone,Sample 13,Roland - SOUND CANVAS SC-8820,SC-8820 Map,066 000 Alto Sax,,,,
Saxophone,Sample 14,Roland - SOUND CANVAS SC-8820,SC-8820 Map,066 000 Alto Sax,,,,
Flute,Sample 15,Roland - SOUND CANVAS SC-8820,SC-8820 Map,074 000 Flute,,,,
Flute,Sample 16,Roland - SOUND CANVAS SC-8820,SC-8820 Map,074 000 Flute,,,,
Jaw Harp,Sample 17,Roland - SOUND CANVAS SC-8820,SC-8820 Map -> Drum Set,053 Asia,,,,
Kick,Sample 18,UNKNOWN,,,,,,
40. Chocobo Jam,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Fingered Bass,Sample 0,UNKNOWN,,,,,,
Fingered Bass,Sample 1,UNKNOWN,,,,,,
Fingered Bass,Sample 2,UNKNOWN,,,,,,
Brass Hit,Sample 3,UNKNOWN,,,,,,
Brass Hit,Sample 4,UNKNOWN,,,,,,
Flute,Sample 5,UNKNOWN,,,,,,
Flute,Sample 6,UNKNOWN,,,,,,
Rock Organ,Sample 7,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 8,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 9,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 10,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 11,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 12,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 13,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Rock Organ,Sample 14,Roland - SOUND CANVAS SC-8820,SC-55 Map,019 000 Organ 3,,,,
Kick,Sample 15,UNKNOWN,,,,,,
Clap,Sample 16,UNKNOWN,,,,,,
Snare,Sample 17,UNKNOWN,,,,,,
Tom,Sample 18,UNKNOWN,,,,,,
Hi Hat,Sample 19,UNKNOWN,,,,,,
Tom,Sample 20,UNKNOWN,,,,,,
Hi Hat,Sample 21,UNKNOWN,,,,,,
Tom,Sample 22,UNKNOWN,,,,,,
Cymbal Crash,Sample 23,UNKNOWN,,,,,,
Tom,Sample 24,UNKNOWN,,,,,,
Cymbal Crash,Sample 25,UNKNOWN,,,,,,
Tamtam,Sample 26,UNKNOWN,,,,,,
Hi Hat,Sample 27,UNKNOWN,,,,,,
Cymbal Crash,Sample 28,UNKNOWN,,,,,,
Vibraphone,Sample 29,UNKNOWN,,,,,,
Vibraphone,Sample 30,UNKNOWN,,,,,,
Vibraphone,Sample 31,UNKNOWN,,,,,,
Muted Trumpet,Sample 32,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Muted Trumpet,Sample 33,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Saxophone,Sample 34,UNKNOWN,UNKNOWN,,,,,
Saxophone,Sample 35,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 36,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 37,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 38,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 39,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 40,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 41,UNKNOWN,UNKNOWN,,,,,
Piano,Sample 42,UNKNOWN,UNKNOWN,,,,,
Brass Ensemble,Sample 43,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 44,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 45,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 46,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 47,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 48,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 49,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
Brass Ensemble,Sample 50,Roland - SOUND CANVAS SC-8820,UNKNOWN,,,,,
41. The Travel Agency,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Piano,Sample 0,UNKNOWN,,,,,,
Piano,Sample 1,UNKNOWN,,,,,,
Piano,Sample 2,UNKNOWN,,,,,,
Piano,Sample 3,UNKNOWN,,,,,,
Piano,Sample 4,UNKNOWN,,,,,,
Piano,Sample 5,UNKNOWN,,,,,,
Acoustic Piano,Sample 6,UNKNOWN,,,,,,
Acoustic Piano,Sample 7,UNKNOWN,,,,,,
Acoustic Piano,Sample 8,UNKNOWN,,,,,,
Acoustic Piano,Sample 9,UNKNOWN,,,,,,
Acoustic Piano,Sample 10,UNKNOWN,,,,,,
Acoustic Piano,Sample 11,UNKNOWN,,,,,,
Acoustic Piano,Sample 12,UNKNOWN,,,,,,
Acoustic Piano,Sample 13,UNKNOWN,,,,,,
Acoustic Piano,Sample 14,UNKNOWN,,,,,,
Acoustic Piano,Sample 15,UNKNOWN,,,,,,
Acoustic Piano,Sample 16,UNKNOWN,,,,,,
Acoustic Piano,Sample 17,UNKNOWN,,,,,,
Acoustic Piano,Sample 18,UNKNOWN,,,,,,
Acoustic Piano,Sample 19,UNKNOWN,,,,,,
Percussion Loop,Sample 20,UNKNOWN,,,,,,
Triangle(?),Sample 21,UNKNOWN,,,,,,
Conga(?),Sample 22,UNKNOWN,,,,,,
Conga(?),Sample 23,UNKNOWN,,,,,,
Clap,Sample 24,UNKNOWN,,,,,,
Clap,Sample 25,UNKNOWN,,,,,,
Hand Cymbal,Sample 26,UNKNOWN,,,,,,
Hand Cymbal,Sample 27,UNKNOWN,,,,,,
Col Legno,Sample 28,UNKNOWN,,,,,,
Col Legno,Sample 29,UNKNOWN,,,,,,
Fretless Bass,Sample 30,UNKNOWN,,,,,,
Fretless Bass,Sample 31,UNKNOWN,,,,,,
Fretless Bass,Sample 32,UNKNOWN,,,,,,
Gamelan,Sample 33,UNKNOWN,,,,,,
Gamelan,Sample 34,UNKNOWN,,,,,,
42. They May Pass,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
String Ensemble,Sample 3,UNKNOWN,,,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
43. Seymour's Theme,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Tubular Bells,Sample 0,UNKNOWN,,,,,,
Tubular Bells,Sample 1,UNKNOWN,,,,,,
Choir,Sample 2,UNKNOWN,,,,,,
Choir,Sample 3,UNKNOWN,,,,,,
Udu Pot,Sample 4,UNKNOWN,,,,,,
Udu Pot,Sample 5,UNKNOWN,,,,,,
Drum,Sample 6,UNKNOWN,,,,,,
Finger Cymbal,Sample 7,UNKNOWN,,,,,,
Harp,Sample 8,UNKNOWN,,,,,,
Harp,Sample 9,UNKNOWN,,,,,,
Harp,Sample 10,UNKNOWN,,,,,,
Harp,Sample 11,UNKNOWN,,,,,,
Harp,Sample 12,UNKNOWN,,,,,,
French Horn,Sample 13,UNKNOWN,,,,,,
French Horn,Sample 14,UNKNOWN,,,,,,
Saw Wave,Sample 15,UNKNOWN,,,,,,
String Ensemble,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
String Ensemble,Sample 19,UNKNOWN,,,,,,
String Ensemble,Sample 20,UNKNOWN,,,,,,
String Ensemble,Sample 21,UNKNOWN,,,,,,
Synth Pad,Sample 22,UNKNOWN,,,,,,
Synth Pad,Sample 23,UNKNOWN,,,,,,
Synth Pad,Sample 24,UNKNOWN,,,,,,
Synth Pad,Sample 25,UNKNOWN,,,,,,
Synth Pad,Sample 26,UNKNOWN,,,,,,
Timpani,Sample 27,UNKNOWN,,,,,,
Nylon Guitar,Sample 28,UNKNOWN,,,,,,
Nylon Guitar,Sample 29,UNKNOWN,,,,,,
Nylon Guitar,Sample 30,UNKNOWN,,,,,,
44. Twilight,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
String Ensemble,Sample 0,UNKNOWN,,,,,,
String Ensemble,Sample 1,UNKNOWN,,,,,,
String Ensemble,Sample 2,UNKNOWN,,,,,,
String Ensemble,Sample 3,UNKNOWN,,,,,,
String Ensemble,Sample 4,UNKNOWN,,,,,,
String Ensemble,Sample 5,UNKNOWN,,,,,,
String Ensemble,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
String Ensemble,Sample 11,UNKNOWN,,,,,,
String Ensemble,Sample 12,UNKNOWN,,,,,,
String Ensemble,Sample 13,UNKNOWN,,,,,,
String Ensemble,Sample 14,UNKNOWN,,,,,,
String Ensemble,Sample 15,UNKNOWN,,,,,,
String Ensemble,Sample 16,UNKNOWN,,,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
String Ensemble,Sample 19,UNKNOWN,,,,,,
String Ensemble,Sample 20,UNKNOWN,,,,,,
String Ensemble,Sample 21,UNKNOWN,,,,,,
45. Djose Temple,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Tremolo Strings,Sample 0,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Tremolo Strings,Sample 1,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Tremolo Strings,Sample 2,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Tremolo Strings,Sample 3,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Tremolo Strings,Sample 4,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Tremolo Strings,Sample 5,Best Service - Advanced Orchestra,CD 1 -> Partition B -> 02 VI TR PP,VI TR PP,,,,
Pizzicato String,Sample 6,UNKNOWN,,,,,,
Pizzicato String,Sample 7,UNKNOWN,,,,,,
Pizzicato String,Sample 8,UNKNOWN,,,,,,
Pizzicato String,Sample 9,UNKNOWN,,,,,,
Pizzicato String,Sample 10,UNKNOWN,,,,,,
