Instrument,Source,Path/Bank,Preset,Notes,Demo
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Vibraphone,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,
Wood Blocks,EastWest - Symphonic Orchestra,Perc -> Wood,Various Perc,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
"""Ooh-Aah"" Choir",EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah-oh MOD,Move the mod up and down,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Choir,Spectrasonics - Vocal Planet,CD 1 -> Partition B -> 1 GOSPEL-V 2,GOSPEL-V 2A,To Do: List the velocity changes,
Pizzicato Strings,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
63. The Golmore Jungle,,,,,
,,,,,
,,,,,
,,,,,
Choir,,,,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Oboe,,,,,
Flute,,,,,
Clarinet,,,,,
Celesta,,,,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,,,,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
,,,,,
,,,,,
64. Eruyt Village,,,,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
Flute,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Flutes -> 5 Keysw,SFL KS Master,,
Choir (Female),EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Choir (Male),EastWest - Voices of the Apocalypse,Men's Choir V.2,MC ah MOD C1-C#1,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Warm Strings,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm Strings Layer,UNKNOWN,,,,
Udu,Roland - SR-JV80-05 World,XP-X,015 Udu Pot Menu,,
65. You're Really a Child...,,,,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
66. Chocobo ~FFXII Version~,,,,,
Bass Drum,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbal,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Tambourine,DS Soundware - Ultimate Orchestral Percussion,Orchestral Tambourines,Orchestral Tambourines,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
Bassoon,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Vibraphone,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,
Wood Blocks,EastWest - Symphonic Orchestra,Perc -> Wood,Various Perc,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Guiro,Roland - SR-JV80-05 World,XP-X,209 Guiro /,,
Choir,Spectrasonics - Vocal Planet,CD 1 -> Partition B -> 1 GOSPEL-V 2,GOSPEL-V 2A,,
Pizzicato Strings,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
67. An Imminent Threat,,,,,
Bass Drum,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbal,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Wind Chime,DS Soundware - Ultimate Orchestral Percussion,Exotic Percussion,Exotic Percussion,,
Tambourine,DS Soundware - Ultimate Orchestral Percussion,,,,
Vibraphone,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Piano,Roland - XV-5080,CHECK,CHECK,,
Warm Strings,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm Strings Layer,,,,,
Tremolo Strings,,,,,
Field Drum,UNKNOWN,,,,
Slapsticks,UNKNOWN,,,,
68. Clash on the Big Bridge ~FFXII Version~,,,,,
Cymbal,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Triangle,UNKNOWN,,,,
Shaker,EastWest - Percussive Adventures,,,,
Bass Drum loop,EastWest - Percussive Adventures,,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Tuba,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,Pitched down 200 cents,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Gong,Roland - SR-JV80-?? (02 or 05),,,,
Warm Strings,Roland SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm String Layer,UNKNOWN,,,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Col Legno Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Col Legno,Col Legno,,
Staccato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
69. Abandoning Power,,,,,
Flute,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Flutes -> 5 Keysw,SFL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
French Horn Ensembe,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Warm Strings,Roland - SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm Strings Layer,UNKNOWN,,,,
Piano,Roland - XV-5080,PR-A,002 Bright Piano,,
Choir,Spectrasonics - Vocal Planet,CD 1 -> Partition B -> 3 KIDS CHOIR,KIDS CHOIR,,
70. The Stilshrine of Miriam,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
71. Time for a Rest,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
72. White Room,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
73. The Salikawood,,,,,
,,,,,
,,,,,
Zither,Roland - SR-JV80-05 World,XP-X,192 Euro Zither,,
Harp,,,,,
Female Choir,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
74. The Phon Coast,,,,,
Cymbal,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Tuba ,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Choir (Female),EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Fast String Ensemble,Roland SR-JV80-02 Orchestral,XP-X,043 Vivace Strs,,
Tubular Bells,Roland SR-JV80-02 Orchestral,XP-X,217 TubulaBells2,,
Staccato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
75. Destiny,,,,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flutes -> QLegato,QLegato,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Warm Strings,Roland SR-JV80-02 Orchestral,XP-X,001 Warm Violins,,
Warm Strings Layer,UNKNOWN,,,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
76. The Sochen Cave Palace,,,,,
,,,,,
Flute,Roland - SR-JV80-02 Orchestral,XP-X,087 Flute ,,
Vibraphones,Roland - SR-JV80-02 Orchestral,XP-X,207 Vibes,,
77. A Moment's Rest,,,,,
,,,,,
78. Near the Water,,,,,
,,,,,
79. The Mosphoran Highwaste,,,,,
,,,,,
80. The Cerobi Steppe,,,,,
,,,,,
81. Esper,,,,,
,,,,,
82. The Port of Balfonheim,,,,,
,,,,,
83. Nap,,,,,
,,,,,
84. The Zertinan Caverns,,,,,
,,,,,
85. The Forgotten Capital,,,,,
,,,,,
86. The Feywood,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
87. Ashe's Theme,,,,,
,,,,,
88. Giruvegan's Mystery,,,,,
,,,,,
89. To the Place of the Gods,,,,,
,,,,,
90. The Beginning of the End,,,,,
,,,,,
91. To the Peak,,,,,
Cymbals,,,,,
Tambourine,,,,,
Timpani,,,,,
Triangle,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
92. The Sky Fortress Bahamut,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Triangle,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Staccato Strings,Sonic Implants - Symphonic Strings Collection,07 - Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
93. Shaking Bahamut,,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,
Clarinet Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,
Harp,Nemesys - Gary Garritan's GigaHarp,GigaHarp,A Melodic Harp 1,,
Staccato Strings,Sonic Implants - Symphonic Strings Collection,07 - Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
94. The Battle for Freedom,,,,,
Bass Drum,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbals,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Glockenspiel,DS Soundware - Ultimate Orchestral Percussion,Orchestral Glockenspiel (Fall Creek),Fall Creek Glockenspiel Med Hard,,
Snare,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
Timpani,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Tuba,EastWest - Symphonic Orchestra,Brass -> Solo Tuba -> 5 Keysw,STU KS Master,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Metal Clash,EastWest - Symphonic Orchestra ,Perc -> Metals,All Anvils,,
Tubular Bells,EastWest - Symphonic Orchestra ,Perc -> Metals,Orch Chimes,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Port 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps Stacc 1,,
Trumpet,Miroslav Vitous - Woodwind and Brass Ensembles 2.0,Tps,Tps X,,
French Horn Ensemble,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,
Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Staccato Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato ,Ensemble Staccato,,
Sustain Strings,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Tremolo Strings,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Tremolo,Ensemble Tremolo Ordinaire R,,
Field Drum,EastWest - Symphonic Orchestra,Perc -> Drums,Field Ens,,
95. The End of the Battle,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
96. The Beginning of the End,,,,,
,,,,,
97. Ending Movie,,,,,
,,,,,
String Ensemble,,,,,
French Horn Ensemble,,,,,
Trombone Ensemble,,,,,
Trumpet,,,,,
Cymbals,,,,,
Female Choir,,,,,
98. Kiss Me Good-Bye,,,,,
Vocals,Live Recording (Angela Aki),,,,
"99. Symphonic Poem ""Hope""",,,,,
,,,,,
100. Theme of FINAL FANTASY XII (Production Announcement Version) ~ (Draft of Opening (THEME OF FINAL FANTASY XII)),,,,,
,,,,,
,,,,,
Section 2 - Zodiac Age Soundtrack,,,,,
,,,,,
Arranged Tracks,,,,,
1. Demo Movie,,,,,
,,,,,
2. Final Fantasy ~FFXII Version~,,,,,
,,,,,
4. Infiltration,,,,,
,,,,,
5. Boss Battle,,,,,
,,,,,
6. Auditory Hallucination,,,,,
,,,,,
7. Secret Practice,,,,,
,,,,,
8. A Small Happiness (Unused),,,,,
,,,,,
9. Streets of Rabanastre,,,,,
,,,,,
10. Penelo's Theme,,,,,
,,,,,
11. The Dream of a Sky Pirate,,,,,
,,,,,
12. Little Rascal,,,,,
,,,,,
13. The Dalmasca Estersand,,,,,
,,,,,
14. Level Up!,,,,,
,,,,,
15. Naivety,,,,,
,,,,,
16. Coexistence (Imperial Version),,,,,
,,,,,
17. Signs of Change,,,,,
,,,,,
,,,,,
,,,,,
19. Rabanastre Downtown,,,,,
Triangles,,,,,
20. Mission Failed (Unused),,,,,
,,,,,
21. Quiet Determination,,,,,
,,,,,
22. The Dalmasca Westersand,,,,,
,,,,,
23. Clan Headquarters,,,,,
,,,,,
24. The Princess' Vision,,,,,
,,,,,
25. Flash of Steel,,,,,
,,,,,
26. Separation with Penelo,,,,,
,,,,,
27. The Garamsythe Waterway,,,,,
,,,,,
28. An Omen,,,,,
,,,,,
29. Rebellion,,,,,
,,,,,
30. Nalbina Fortress Town Ward,,,,,
,,,,,
31. ',,,,,
,,,,,
32. ',,,,,
,,,,,
33. Victory Fanfare ~FFXII Version~,,,,,
,,,,,
34. Abyss (Unused),,,,,
,,,,,
35. Dark Clouds (Imperial Version),,,,,
,,,,,
36. A Promise with Balthier,,,,,
,,,,,
37. Game Over,,,,,
,,,,,
38. Nalbina Fortress Underground Prison,,,,,
,,,,,
39. The Barbarians,,,,,
,,,,,
40. Battle Drum,,,,,
,,,,,
41. The Archadian Empire,,,,,
,,,,,
42. Chocobo FFXII Arrange Ver. 1 ~ Unused Draft of Chocobo ~FFXII Version~,,,,,
,,,,,
43. The Barheim Passage,,,,,
,,,,,
44. Sorrow (Liberation Army Version),,,,,
,,,,,
45. Basch's Reminiscence,,,,,
,,,,,
46. Coexistence (Liberation Army Version),,,,,
,,,,,
47. The Skycity of Bhujerba,,,,,
,,,,,
48. The Secret of Nethicite,,,,,
,,,,,
49.  Dark Night (Imperial Version),,,,,
,,,,,
50. Speechless Fight,,,,,
,,,,,
51. The Dreadnought Leviathan Bridge,,,,,
,,,,,
52. Challenging the Empire,,,,,
,,,,,
53. State of Emergency,,,,,
,,,,,
54. Discord (Imperial Version),,,,,
,,,,,
55. The Tomb of Raithwall,,,,,
,,,,,
56. The Sandsea,,,,,
,,,,,
57. Esper Battle,,,,,
,,,,,
58. Sorrow (Imperial Version),,,,,
,,,,,
59. Seeking Power,,,,,
,,,,,
60. Desperate Fight,,,,,
,,,,,
"61. Jahara, Land of the Garif",,,,,
,,,,,
62. Ozmone Plains,,,,,
,,,,,
63. The Golmore Jungle,,,,,
,,,,,
64. Eruyt Village,,,,,
,,,,,
65. You're Really a Child...,,,,,
,,,,,
66. Chocobo ~FFXII Version~,,,,,
,,,,,
67. An Imminent Threat,,,,,
,,,,,
68. Clash on the Big Bridge ~FFXII Version~,,,,,
,,,,,
69. Abandoning Power,,,,,
,,,,,
,,,,,
,,,,,
70. The Stilshrine of Miriam,,,,,
,,,,,
71. Time for a Rest,,,,,
,,,,,
72. White Room,,,,,
,,,,,
73. The Salikawood,,,,,
,,,,,
74. The Phon Coast,,,,,
,,,,,
75. Destiny,,,,,
,,,,,
76. The Sochen Cave Palace,,,,,
,,,,,
77. A Moment's Rest,,,,,
,,,,,
78. Near the Water,,,,,
,,,,,
79. The Mosphoran Highwaste,,,,,
,,,,,
80. The Cerobi Steppe,,,,,
,,,,,
81. Esper,,,,,
,,,,,
82. The Port of Balfonheim,,,,,
,,,,,
83. Nap,,,,,
,,,,,
84. The Zertinan Caverns,,,,,
,,,,,
85. The Forgotten Capital,,,,,
,,,,,
86. The Feywood,,,,,
,,,,,
87. Ashe's Theme,,,,,
,,,,,
88. Giruvegan's Mystery,,,,,
,,,,,
89. To the Place of the Gods,,,,,
,,,,,
90. The Beginning of the End,,,,,
,,,,,
91. To the Peak,,,,,
,,,,,
92. The Sky Fortress Bahamut,,,,,
,,,,,
93. Shaking Bahamut,,,,,
,,,,,
94. The Battle for Freedom,,,,,
,,,,,
95. The End of the Battle,,,,,
,,,,,
96. Ending Movie,,,,,
,,,,,
97. The Beginning of the End,,,,,
,,,,,
98. Kiss Me Good-Bye,,,,,
,,,,,
"99. Symphonic Poem ""Hope""",,,,,
,,,,,
Tracks introduced in The Zodiac Age,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[Notes],,,,,
"This one game made me (Aged) motivated to revitalize this sheet and find more Final Fantasy samples, not kidding.",,,,,
